2024-09-08 20:30:01 | DUMP_INICIADO | database_1 | Inicio | Iniciando dump do banco de dados
2024-09-08 20:34:53 | DUMP_FINALIZADO | database_1 | OK | Dump do banco de dados finalizado
2024-09-08 20:34:53 | COMPRESSAO_INICIADA | database_1 | Inicio | Inicio compactação do arquivo
2024-09-08 20:56:25 | COMPRESSAO_CONCLUIDA | database_1 | OK | Arquivo compactado com sucesso
2024-09-08 20:56:25 | UPLOAD_INICIADO | database_1 | Inicio | Upload arquivo para o S3 iniciado
2024-09-08 20:56:46 | UPLOAD_CONCLUIDO | database_1 | OK | Upload realizado com sucesso
2024-09-08 20:56:46 | DUMP_INICIADO | database_2 | Inicio | Iniciando dump do banco de dados
2024-09-08 20:56:48 | DUMP_FINALIZADO | database_2 | OK | Dump do banco de dados finalizado
2024-09-08 20:56:48 | COMPRESSAO_INICIADA | database_2 | Inicio | Inicio compactação do arquivo
2024-09-08 20:57:02 | COMPRESSAO_CONCLUIDA | database_2 | OK | Arquivo compactado com sucesso
2024-09-08 20:57:02 | UPLOAD_INICIADO | database_2 | Inicio | Upload arquivo para o S3 iniciado
2024-09-08 20:57:09 | UPLOAD_CONCLUIDO | database_2 | OK | Upload realizado com sucesso
